url,title,price_in_rp,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description
https://www.rumah123.com/properti/jakarta-selatan/hos10107882/#qid~347266bb-2823-45c0-9172-42c380446204,RUMAH CANTIK DEKAT AKSES TOLL,1710000000.0,Kelapa Gading,Jakarta Selatan,3.0,3.0,80.0,130.0,SHM,2200.0,Baru,2.0," AC,  Jogging Track,  Ac,  Kolam Renang, Jalur Telepon, Keamanan 24 jam, Kitchen Set, Masjid,  Jalur Telepon,  CCTV, Track Lari, Wastafel, Keamanan, Tempat Jemuran,  Taman"
https://www.rumah123.com/properti/jakarta-selatan/hos10697193/#qid~347266bb-2823-45c0-9172-42c380446204,RUMAH BARU DI JAGAKARSA  DALAM KOMPLEK PINGGIR JLN 5MENIT STASIUN KERETA API LENTENG AGUNG DAN 4MENIT TOL CICAGO GERBANG TOLL BRIGIF,1950000000.0,Pantai Indah Kapuk 2,Jakarta Selatan,4.0,4.0,95.0,150.0,SHM,2200.0,Baru,2.0,"Kolam Renang, Taman,  Kolam Renang,  Keamanan,  Ac, Keamanan 24 jam, AC"
https://www.rumah123.com/properti/jakarta-selatan/hos7010634/#qid~347266bb-2823-45c0-9172-42c380446204,RUMAH SIAP HUNI DEKET KE CILANDAK✓  RAGUNAN✓KEBAGUSAN ✓3MENIT KE TOL CICAGO KE GERBANG TOL BRIGIF,2300000000.0,Jakarta Garden City,Jakarta Selatan,4.0,4.0,121.0,180.0,SHM,2200.0,0,2.0,"AC, Ac, Keamanan 24 jam, Keamanan"
https://www.rumah123.com/properti/jakarta-selatan/hos10941017/#qid~347266bb-2823-45c0-9172-42c380446204,RUMAH HARGA NEGO DI JAGAKARSA jalan Mochamad kahfi1 Jagakarsa,2400000000.0,Pantai Indah Kapuk,Jakarta Selatan,4.0,4.0,113.0,160.0,SHM,2200.0,Baru,2.0,"Ac, AC"
https://www.rumah123.com/properti/jakarta-selatan/hos10059115/#qid~347266bb-2823-45c0-9172-42c380446204,RUMAH CLUSTER DEKAT AKSES TOLL,1550000000.0,BSD The Green,Jakarta Selatan,3.0,3.0,70.0,120.0,SHM,2200.0,Baru,2.0," Jogging Track,  Track Lari,  One Gate System,  Masjid,  Keamanan,  Akses Parkir, Keamanan 24 jam, Masjid,  Jalur Telepon, Lapangan Voli, CCTV, Tempat Jemuran, Ac, Lapangan Bola,  Taman,  AC,  Tempat Gym, Jalur Telepon, Kitchen Set,  CCTV, Wastafel,  Playground"
https://www.rumah123.com/properti/jakarta-selatan/hos10849554/#qid~347266bb-2823-45c0-9172-42c380446204,"RUMAH MURAH, DEKAT CILANDAK AKSES MOTOR",695000000.0,Gading Serpong,Jakarta Selatan,2.0,2.0,40.0,80.0,SHM,2200.0,Baru,2.0," Keamanan, Keamanan 24 jam, AC, Masjid,  Masjid, Ac, Jogging Track, Track Lari, Wastafel, Tempat Jemuran,  Taman"
https://www.rumah123.com/properti/jakarta-selatan/hos11349430/#qid~7a8ea572-c6d8-4a20-9030-cfd60d8b46b9,Rumah Modern Siap Kpr di Pomentia Residence Dekat Fatmawati Harga All In,2640000000.0,BSD,Jakarta Selatan,4.0,4.0,110.0,140.0,SHM,2200.0,Bagus,2.0,"Tempat Jemuran, Keamanan 24 jam, Taman"
https://www.rumah123.com/properti/jakarta-selatan/hos11080079/#qid~7a8ea572-c6d8-4a20-9030-cfd60d8b46b9,RUMAH MEWAH MURAH MODERN CLASSIC DI JAGAKARSA,4500000000.0,BSD,Jakarta Selatan,4.0,4.0,168.0,230.0,SHM,3300.0,Baru,3.0,"Kolam Renang, Taman"
https://www.rumah123.com/properti/jakarta-selatan/hos10612828/#qid~0b155e4a-0b02-4141-8d37-4c7bf7a39207,Rumah Minimalis Modern Harga All In di Pomentia Residence Jagakarsa Bisa Kpr,2640000000.0,BSD,Jakarta Selatan,4.0,4.0,110.0,140.0,SHM,2200.0,Bagus,2.0,"Taman, Keamanan"
https://www.rumah123.com/properti/jakarta-selatan/hos10697161/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,New Town House di Jln warung sila jagakarsa Jakarta selatan,1950000000.0,BSD,Jakarta Selatan,3.0,3.0,95.0,150.0,SHM,2200.0,0,2.0,"Kolam Renang, Taman,  Keamanan"
https://www.rumah123.com/properti/jakarta-selatan/hos9911075/#qid~1608da07-ed77-470e-a22b-0840f104913d,Rumah Siap Huni Akses 2 Mobil Dekat Pintu Tol Kukusan Beji,1450000000.0,Gading Serpong,Jakarta Selatan,3.0,3.0,97.0,130.0,SHM,2200.0,Baru,2.0,"Taman,  Keamanan,  Ac, Jalur Telepon, Keamanan 24 jam, AC, Masjid,  Jalur Telepon, Jogging Track,  CCTV, Track Lari, CCTV,  Taman"
https://www.rumah123.com/properti/jakarta-selatan/hos11344886/#qid~1608da07-ed77-470e-a22b-0840f104913d,RUMAH BARU MEWAH MURAH STRATEGIS DEKAT RAGUNAN DI JAGAKARSA,3700000000.0,Gading Serpong,Jakarta Selatan,4.0,4.0,112.0,240.0,SHM,2200.0,Baru,3.0,"Tempat Jemuran, Kitchen Set, Taman, Keamanan"
https://www.rumah123.com/properti/jakarta-selatan/hos9194125/#qid~db9474a4-9bc8-4b94-9e3e-32257b7b9fcb,Rumah with PRIVATEPOOL dalam komplek besar nyaman asri Dekat tol cilandak siap huni,2000000000.0,Pamulang,Jakarta Selatan,5.0,5.0,125.0,160.0,SHM,3300.0,Baru,2.0," Taman,  Masjid, Jalur Telepon,  CCTV, Kolam Renang,  Keamanan,  Ac,  Jogging Track"
https://www.rumah123.com/properti/jakarta-selatan/hos8149018/#qid~db9474a4-9bc8-4b94-9e3e-32257b7b9fcb,Rumah Classik Pilar Mewah With PRIVATEPOOL STRATEGIS dekat CILANDAK,3200000000.0,Araya,Jakarta Selatan,4.0,4.0,210.0,280.0,SHM,5500.0,Baru,3.0," Kolam Renang, Taman,  Taman,  Masjid, Jalur Telepon,  CCTV,  Jalur Telepon, Ac, Kolam Renang, AC,  Keamanan, CCTV"
https://www.rumah123.com/properti/jakarta-selatan/hos10800984/#qid~db9474a4-9bc8-4b94-9e3e-32257b7b9fcb,Rumah Mewah Luxury Dalam Cluster Dekat Dengan Tol Brigif,1950000000.0,Gading Serpong,Jakarta Selatan,3.0,3.0,96.0,150.0,SHM,2200.0,Baru,3.0," Kolam Renang,  Taman,  CCTV, Masjid,  Jalur Telepon, Jogging Track,  Ac,  Keamanan"
https://www.rumah123.com/properti/jakarta-selatan/hos10800984/#qid~6d549e56-37b4-4dcb-b253-375543902dd7,Rumah Mewah Luxury Dalam Cluster Dekat Dengan Tol Brigif,1950000000.0,Bintaro,Jakarta Selatan,3.0,3.0,96.0,150.0,SHM,2200.0,Baru,3.0," Kolam Renang,  Taman,  CCTV, Masjid,  Jalur Telepon, Jogging Track,  Ac,  Keamanan"
https://www.rumah123.com/properti/jakarta-selatan/hos11047290/#qid~6d549e56-37b4-4dcb-b253-375543902dd7,Dijual Rumah Modern Strategis Dekat Jagakarsa Siap Kpr Harga All In,1650000000.0,BSD City,Jakarta Selatan,3.0,3.0,78.0,110.0,SHM,2200.0,Bagus,2.0,Keamanan 24 jam
